gene	young_leaf	flower	one_cm_pod	pod_shell_10DAF	pod_shell_14DAF	seed_10DAF	seed_14DAF	seed_21DAF	seed_25DAF	seed_28DAF	seed_35DAF	seed_42DAF	root	nodule
Glyma0048s00320	4	2	3	2	1	1	2	5	1	1	1	1	2	1
Glyma0048s00330	39	24	50	70	92	20	52	25	38	24	32	22	49	62
Glyma0048s00340	3	3	2	2	1	1	2	1	1	1	2	1	2	2
Glyma0048s00350	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0050s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0053s00200	0	0	1	0	1	0	0	0	0	0	0	0	2	1
Glyma0053s00210	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Glyma0056s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0057s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0057s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0057s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0057s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0057s00240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0057s00250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0057s00260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0057s00270	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0057s00280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00220	0	0	0	0	0	0	0	0	1	1	1	0	0	0
Glyma0060s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00270	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00320	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00340	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Glyma0060s00350	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00360	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00370	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0060s00380	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0066s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0066s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0066s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0066s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0066s00240	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Glyma0067s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0070s00200	1	0	3	3	1	0	0	0	1	0	1	1	0	0
Glyma0070s00210	0	0	0	1	0	1	0	1	0	0	0	0	0	0
Glyma0071s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0076s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00210	0	3	0	0	1	0	0	0	0	0	0	0	0	0
Glyma0079s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00230	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00240	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00250	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00260	0	7	0	0	5	0	0	0	0	0	0	0	0	0
Glyma0079s00270	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Glyma0079s00280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00320	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00340	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00350	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00360	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0079s00370	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0080s00200	3	1	1	0	0	1	0	1	1	0	0	0	0	0
Glyma0080s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0080s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0080s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0084s00210	35	21	16	19	15	1	1	2	1	0	0	0	1	2
Glyma0084s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0084s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0084s00240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0084s00250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0086s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0086s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0086s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0090s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0090s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0090s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0090s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0091s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0091s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0091s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0091s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0091s00240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0092s00200	1	4	2	2	3	2	1	1	1	1	1	0	2	1
Glyma0092s00210	5	2	4	6	1	2	4	2	3	1	3	1	3	4
Glyma0092s00220	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Glyma0092s00230	10	21	5	7	19	1	1	2	4	2	3	4	12	6
Glyma0092s00240	31	40	32	17	21	6	8	5	3	2	2	1	10	5
Glyma0095s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0095s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0095s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0095s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0095s00240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0095s00250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0095s00260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0095s00270	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0096s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0096s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0096s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0096s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0096s00240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0096s00250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0096s00260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0096s00270	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0097s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0097s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0101s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0101s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0101s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0101s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0101s00240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0101s00250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0101s00260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0103s00200	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Glyma0103s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0103s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0103s00230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0103s00240	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Glyma0103s00250	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Glyma0103s00270	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0103s00280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0103s00290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0107s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0107s00210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0107s00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0109s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma0120s00200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
