gene	young_leaf	flower	one_cm_pod	pod_shell_10DAF	pod_shell_14DAF	seed_10DAF	seed_14DAF	seed_21DAF	seed_25DAF	seed_28DAF	seed_35DAF	seed_42DAF	root	nodule
Glyma02g06460	1	10	2	1	1	0	0	0	0	0	0	0	0	0
Glyma02g06470	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Glyma02g06480	2	2	3	1	0	2	1	3	1	1	1	1	2	1
Glyma02g06490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06510	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06520	4	2	3	3	2	0	1	1	4	2	3	2	1	0
Glyma02g06530	2	9	2	2	1	0	0	0	0	0	1	1	4	1
Glyma02g06540	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06550	12	22	11	10	5	2	3	8	10	5	15	14	6	1
Glyma02g06560	0	7	4	2	1	2	1	0	1	1	1	1	0	0
Glyma02g06570	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06580	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06590	24	12	20	17	13	6	11	16	9	5	6	4	12	8
Glyma02g06600	1	2	1	0	1	0	0	0	0	0	0	0	2	1
Glyma02g06610	0	25	0	0	0	0	1	1	1	1	1	1	2	0
Glyma02g06620	14	25	16	13	18	3	4	6	4	3	4	2	10	2
Glyma02g06630	38	54	48	31	32	4	11	17	8	7	5	6	22	4
Glyma02g06640	0	1	0	0	1	0	1	0	0	0	1	2	1	0
Glyma02g06650	7	28	0	0	0	0	0	2	2	0	0	0	0	0
Glyma02g06660	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Glyma02g06670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06680	3	13	4	7	14	0	0	1	0	0	0	0	2	26
Glyma02g06690	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06700	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06710	5	10	7	6	7	2	4	4	3	1	3	3	8	7
Glyma02g06720	0	3	1	1	0	0	1	0	0	0	1	1	3	7
Glyma02g06730	20	1	2	1	1	1	1	4	5	3	8	4	1	27
Glyma02g06740	5	15	14	18	22	2	3	3	1	1	1	1	5	1
Glyma02g06750	9	18	21	28	82	3	10	4	9	1	1	0	45	3
Glyma02g06760	2	3	1	1	1	1	1	2	2	1	1	1	2	2
Glyma02g06770	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06780	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06790	1	1	1	1	1	0	0	1	0	0	0	0	1	0
Glyma02g06800	1	4	4	2	3	1	0	1	1	0	0	0	3	0
Glyma02g06810	9	6	8	7	14	1	0	0	1	0	1	1	0	8
Glyma02g06820	6	7	6	9	3	3	2	3	2	2	4	3	8	5
Glyma02g06830	183	75	83	81	85	5	7	16	12	8	7	2	0	0
Glyma02g06840	2	7	2	3	9	24	13	2	1	1	1	3	1	3
Glyma02g06850	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06860	12	10	11	8	8	8	6	5	6	4	4	2	12	10
Glyma02g06870	0	5	0	0	0	0	0	0	1	0	0	0	0	0
Glyma02g06880	4	7	3	4	4	1	1	1	1	1	1	0	3	2
Glyma02g06890	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Glyma02g06900	1	1	2	1	1	1	0	1	2	0	1	1	2	1
Glyma02g06910	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g06930	1	0	2	1	0	0	0	0	1	1	1	1	0	0
Glyma02g06940	1	1	1	1	0	0	1	0	1	0	0	0	0	1
Glyma02g06950	2	2	2	2	1	1	1	1	1	0	1	0	2	0
Glyma02g06960	0	0	0	0	1	0	0	0	0	0	0	0	4	1
Glyma02g06970	12	10	29	18	21	2	9	7	4	2	1	1	11	2
Glyma02g06980	3	4	4	3	2	1	2	1	2	0	1	1	2	2
Glyma02g06990	0	2	1	0	0	1	0	0	0	0	0	0	0	2
Glyma02g07000	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07010	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07020	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07030	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07040	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07050	0	0	1	1	0	0	0	0	0	0	0	0	1	0
Glyma02g07060	0	10	0	1	0	0	0	0	0	0	0	0	2	0
Glyma02g07070	0	0	0	0	0	0	0	0	0	0	0	0	10	2
Glyma02g07080	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Glyma02g07090	1	3	3	1	3	0	0	0	0	0	0	0	2	0
Glyma02g07100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07110	1	0	1	1	0	0	0	0	0	0	0	0	1	1
Glyma02g07120	1	1	2	1	0	0	0	0	0	0	0	0	1	1
Glyma02g07130	0	0	0	0	0	0	0	0	0	0	0	0	70	25
Glyma02g07140	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Glyma02g07150	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Glyma02g07160	7	8	12	9	12	6	6	7	6	4	10	5	10	8
Glyma02g07170	1	3	0	0	0	0	1	1	0	1	0	0	1	1
Glyma02g07180	187	40	57	67	107	3	5	14	17	7	7	4	0	0
Glyma02g07190	9	6	8	8	10	2	5	6	5	2	4	3	11	6
Glyma02g07200	11	9	16	14	15	8	9	7	5	3	8	5	13	6
Glyma02g07210	2	2	1	2	1	1	2	1	2	1	4	7	0	0
Glyma02g07220	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07230	56	82	120	83	109	22	61	45	47	28	34	35	104	111
Glyma02g07240	3	5	4	4	3	2	3	3	2	1	3	2	4	2
Glyma02g07250	8	11	10	8	10	3	4	6	4	2	3	2	12	7
Glyma02g07260	4	4	7	7	7	1	5	3	5	3	4	3	7	5
Glyma02g07270	2	2	2	2	1	1	1	1	2	0	1	1	2	1
Glyma02g07280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07290	4	7	6	5	6	2	3	5	2	1	2	2	13	6
Glyma02g07300	4	4	4	4	5	4	5	6	1	1	2	0	3	2
Glyma02g07310	0	5	1	1	0	0	0	0	0	0	1	1	23	1
Glyma02g07320	3	1	4	1	2	0	1	3	1	0	3	0	1	3
Glyma02g07330	17	9	17	11	10	6	9	8	8	5	8	4	19	14
Glyma02g07340	19	14	18	18	24	5	11	8	9	5	7	5	22	17
Glyma02g07350	3	1	1	1	1	0	1	0	1	0	0	0	0	0
Glyma02g07360	6	5	4	5	2	1	2	2	2	2	4	3	3	3
Glyma02g07370	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07380	4	2	6	4	2	2	2	3	6	1	2	2	2	4
Glyma02g07390	3	1	3	4	2	3	2	2	2	1	2	1	2	3
Glyma02g07400	4	4	2	2	1	0	1	1	0	0	1	0	2	0
Glyma02g07410	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07420	10	6	9	10	7	15	11	10	7	5	16	9	20	18
Glyma02g07430	197	150	296	168	124	196	129	110	108	121	150	91	128	89
Glyma02g07440	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Glyma02g07450	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Glyma02g07460	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Glyma02g07470	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07480	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07510	5	4	4	3	3	2	2	2	2	0	2	1	2	2
Glyma02g07520	2	6	9	9	20	7	4	2	2	4	1	0	14	1
Glyma02g07530	2	4	7	6	2	0	0	0	1	0	1	2	3	0
Glyma02g07540	1	1	2	1	1	0	2	0	1	0	1	1	1	1
Glyma02g07550	1	3	0	1	0	0	1	0	0	0	0	0	1	1
Glyma02g07560	9	10	7	5	7	4	5	7	3	2	3	2	11	6
Glyma02g07570	1	3	0	0	0	0	1	1	0	0	0	0	1	1
Glyma02g07580	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07590	1	1	2	2	1	0	0	0	0	0	0	0	0	0
Glyma02g07610	8	106	3	6	12	1	1	1	4	1	0	0	1	2
Glyma02g07620	2	8	5	5	6	1	2	1	3	2	2	2	6	2
Glyma02g07630	2	5	1	1	3	0	0	1	0	0	0	0	0	0
Glyma02g07640	1	3	3	3	9	0	0	1	1	0	0	0	0	0
Glyma02g07650	0	5	0	0	0	0	0	0	0	0	0	0	0	1
Glyma02g07660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07670	27	6	14	13	4	4	12	15	6	1	1	0	6	1
Glyma02g07680	2	0	0	0	0	2	3	2	2	1	1	0	1	0
Glyma02g07690	9	5	7	8	9	2	6	3	4	1	3	1	9	1
Glyma02g07700	0	28	1	1	0	0	1	0	0	0	0	0	5	0
Glyma02g07710	8	6	9	4	4	3	4	5	4	2	4	1	4	3
Glyma02g07720	2	4	8	3	5	2	0	3	1	2	7	2	6	4
Glyma02g07730	5	4	2	2	0	1	6	8	6	1	2	0	2	2
Glyma02g07740	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07750	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Glyma02g07760	0	2	0	0	0	1	0	0	0	0	0	0	6	0
Glyma02g07770	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07780	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07790	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Glyma02g07800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07810	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Glyma02g07820	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07830	7	12	10	8	6	4	3	7	2	2	3	2	15	5
Glyma02g07840	0	0	1	1	4	0	0	0	0	0	1	0	2	1
Glyma02g07850	6	3	5	7	7	2	2	2	1	1	1	1	1	0
Glyma02g07860	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07870	6	2	3	3	1	1	3	3	2	1	1	1	1	2
Glyma02g07880	4	2	1	0	0	0	0	0	0	0	0	0	0	1
Glyma02g07890	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Glyma02g07900	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07910	35	33	43	41	22	20	30	35	23	13	27	13	29	18
Glyma02g07920	1	2	1	2	1	1	1	2	1	1	2	1	3	2
Glyma02g07930	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07940	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g07950	5	7	2	4	4	10	11	11	8	3	7	1	16	4
Glyma02g07960	9	9	9	17	17	6	2	1	1	0	0	0	56	5
Glyma02g07970	1	11	10	8	42	149	89	7	7	9	4	6	1	4
Glyma02g07980	5	8	16	7	13	183	59	0	6	5	4	2	3	1
Glyma02g07990	4	13	7	5	7	2	1	1	2	1	1	1	2	1
Glyma02g08000	5	4	2	4	3	1	2	2	3	1	3	1	1	1
Glyma02g08010	28	44	33	30	40	22	29	29	38	17	38	32	42	50
Glyma02g08020	0	2	0	0	0	0	0	0	0	0	0	0	4	2
Glyma02g08030	0	0	0	1	0	0	0	0	0	0	0	1	1	0
Glyma02g08040	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08050	15	5	7	8	5	2	5	3	6	3	5	2	3	2
Glyma02g08060	4	4	3	3	3	2	2	3	2	1	3	2	3	3
Glyma02g08070	0	1	0	0	0	1	4	6	2	1	1	1	0	0
Glyma02g08080	1	3	13	13	3	16	15	3	1	0	9	5	0	2
Glyma02g08090	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Glyma02g08100	8	11	9	7	4	3	3	2	4	2	3	6	10	6
Glyma02g08110	2	4	4	7	7	0	0	1	0	0	0	1	5	0
Glyma02g08120	0	0	0	1	0	0	0	1	0	0	0	0	1	0
Glyma02g08130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08150	5	1	2	3	2	1	3	3	2	2	2	1	2	0
Glyma02g08160	9	1	2	1	1	1	1	2	1	1	2	1	2	1
Glyma02g08170	4	6	5	3	2	4	4	4	2	2	2	2	4	3
Glyma02g08180	8	12	9	17	11	4	6	8	6	3	5	4	15	8
Glyma02g08190	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08200	1	0	0	0	1	0	1	1	1	0	1	0	0	0
Glyma02g08210	2	1	2	1	0	1	1	1	0	0	0	0	1	0
Glyma02g08220	3	3	3	3	3	4	2	2	2	1	3	0	2	0
Glyma02g08230	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08240	0	4	1	1	0	0	0	0	0	0	0	0	0	0
Glyma02g08250	0	9	9	2	1	13	43	55	45	22	14	4	0	0
Glyma02g08260	5	50	10	7	15	1	6	13	16	7	10	6	30	1
Glyma02g08270	3	5	5	5	1	2	3	6	4	2	5	2	4	5
Glyma02g08280	0	1	2	1	1	1	1	0	0	0	0	0	2	12
Glyma02g08300	3	3	2	5	7	0	1	1	1	0	2	1	2	4
Glyma02g08310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08320	5	5	2	3	8	4	2	1	2	1	1	1	17	5
Glyma02g08330	0	0	0	1	1	0	0	0	0	0	0	0	1	0
Glyma02g08340	2	6	3	6	4	1	2	3	2	1	3	2	5	4
Glyma02g08350	7	4	7	6	4	2	2	3	2	2	2	2	3	1
Glyma02g08360	4	3	5	4	3	2	4	5	4	2	6	4	3	1
Glyma02g08370	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Glyma02g08380	0	0	0	0	0	1	1	1	0	1	3	0	0	0
Glyma02g08390	23	14	22	14	14	4	9	14	6	4	8	6	21	20
Glyma02g08400	0	2	0	0	0	0	1	0	45	13	210	2913	4	681
Glyma02g08410	11	4	4	7	3	7	8	8	11	6	24	8	7	24
Glyma02g08420	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08430	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08440	12	10	11	9	7	6	15	13	10	6	10	8	11	16
Glyma02g08450	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08460	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08470	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08480	0	0	0	0	0	3	5	3	1	0	0	0	0	0
Glyma02g08490	4	1	1	1	0	1	2	1	1	0	0	0	1	1
Glyma02g08500	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Glyma02g08510	2	2	2	2	0	1	1	3	1	1	1	2	1	4
Glyma02g08520	0	0	0	0	0	0	0	0	5	4	11	5	0	0
Glyma02g08530	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Glyma02g08540	11	7	10	9	11	5	7	6	7	4	5	4	15	17
Glyma02g08550	23	9	11	8	3	3	6	7	7	4	7	5	5	3
Glyma02g08560	16	6	5	6	1	3	3	3	3	1	3	2	1	1
Glyma02g08570	1	1	0	0	1	0	0	0	0	0	0	0	3	0
Glyma02g08580	5	2	2	3	2	0	0	0	0	0	0	0	0	0
Glyma02g08590	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Glyma02g08600	4	20	3	3	5	2	4	5	4	3	6	5	15	9
Glyma02g08610	9	6	4	4	3	1	1	2	3	2	5	3	5	0
Glyma02g08620	2	1	2	2	1	1	2	1	1	1	1	1	2	1
Glyma02g08630	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08640	0	1	0	0	0	2	3	3	1	0	0	0	0	0
Glyma02g08650	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08680	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08690	9	6	7	7	4	6	8	8	8	3	6	5	7	10
Glyma02g08700	2	2	2	2	2	1	2	2	1	0	1	0	3	1
Glyma02g08710	5	4	6	5	5	2	7	10	6	2	5	1	3	4
Glyma02g08720	0	3	0	2	1	0	1	2	1	0	1	1	3	1
Glyma02g08730	0	1	0	1	1	2	1	0	0	0	0	0	1	0
Glyma02g08740	8	2	2	3	1	0	0	0	1	0	0	0	1	0
Glyma02g08750	0	1	2	2	1	0	1	0	0	0	0	0	0	0
Glyma02g08760	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Glyma02g08770	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Glyma02g08780	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Glyma02g08790	3	3	3	5	4	2	3	4	3	1	3	3	5	2
Glyma02g08800	1	17	2	1	0	0	0	0	0	0	0	0	1	0
Glyma02g08810	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08820	8	8	7	6	7	2	4	3	3	1	4	0	10	10
Glyma02g08830	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08840	0	4	0	1	0	0	1	1	0	0	0	0	1	1
Glyma02g08850	7	8	7	5	2	3	6	3	5	3	7	5	1	0
Glyma02g08860	2	0	2	1	1	1	1	2	1	0	2	2	1	0
Glyma02g08870	12	10	13	10	7	4	5	10	5	3	6	4	8	5
Glyma02g08880	7	4	7	9	7	5	7	7	6	3	4	3	6	6
Glyma02g08890	15	1	9	16	62	1	0	0	0	0	0	0	0	0
Glyma02g08900	13	3	3	3	1	1	2	3	2	0	0	0	1	0
Glyma02g08910	10	4	24	21	24	0	0	1	1	0	0	0	0	0
Glyma02g08920	11	6	12	15	14	4	3	3	2	2	3	3	26	1
Glyma02g08930	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08940	8	8	4	5	6	3	2	3	2	2	4	2	2	2
Glyma02g08950	1	5	5	3	5	7	5	2	3	1	5	3	46	12
Glyma02g08960	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08970	50	17	40	59	24	34	24	8	16	15	18	9	9	7
Glyma02g08980	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g08990	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09000	6	8	7	19	13	5	7	3	3	2	3	2	4	7
Glyma02g09010	5	2	4	4	3	1	1	2	1	1	2	1	2	1
Glyma02g09020	12	18	22	27	37	189	63	13	9	8	5	3	11	6
Glyma02g09030	8	12	12	15	17	68	25	8	6	4	4	2	11	4
Glyma02g09040	0	2	1	2	0	0	0	0	0	0	0	0	0	0
Glyma02g09050	2	17	3	1	2	0	1	3	3	1	0	0	3	0
Glyma02g09060	26	21	46	41	13	4	9	12	4	3	5	3	25	1
Glyma02g09070	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Glyma02g09080	3	2	2	2	1	1	1	2	1	0	2	0	2	2
Glyma02g09090	27	21	17	16	14	18	19	12	7	3	3	3	14	8
Glyma02g09100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09110	0	1	10	1	1	94	50	19	4	4	4	5	18	1
Glyma02g09120	3	3	2	2	1	2	2	3	1	1	1	1	2	3
Glyma02g09130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09140	12	14	14	14	12	8	12	9	5	5	5	6	17	4
Glyma02g09150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09170	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Glyma02g09180	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09190	16	29	33	18	15	6	16	28	18	8	14	17	32	24
Glyma02g09200	81	131	313	279	132	0	0	1	7	5	20	17	1045	307
Glyma02g09210	0	49	0	0	0	0	0	0	0	0	1	0	201	1
Glyma02g09220	36	875	26	11	10	0	0	6	1	1	25	9	4072	23
Glyma02g09230	5	5	5	4	3	2	6	4	2	1	3	1	8	4
Glyma02g09240	4	3	6	3	0	1	1	1	1	0	1	1	7	1
Glyma02g09250	3	3	2	2	1	1	2	2	2	2	3	2	3	1
Glyma02g09260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09270	28	14	25	21	23	9	16	17	29	14	27	23	24	201
Glyma02g09280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09290	17	29	26	14	14	5	10	9	10	6	9	6	16	19
Glyma02g09300	1	1	1	2	0	1	1	0	1	0	0	0	0	1
Glyma02g09310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09320	0	0	0	0	0	5	8	10	5	2	3	0	0	0
Glyma02g09330	2	2	3	2	3	1	0	1	1	1	2	1	2	3
Glyma02g09340	2	3	2	2	3	1	1	1	1	1	1	1	2	2
Glyma02g09350	4	2	4	3	3	1	2	2	2	1	2	1	3	1
Glyma02g09360	9	11	9	7	8	8	10	10	13	7	14	12	17	12
Glyma02g09370	222	119	299	241	143	149	221	217	171	109	162	140	248	154
Glyma02g09380	2	3	2	2	2	2	2	2	1	0	0	0	2	1
Glyma02g09390	15	9	12	9	6	5	6	6	7	4	6	6	10	5
Glyma02g09400	2	2	2	1	1	1	1	2	0	0	0	0	1	1
Glyma02g09410	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Glyma02g09420	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09440	11	0	0	0	0	0	0	2	2	1	2	1	0	0
Glyma02g09450	8	5	8	10	6	3	5	5	4	4	5	1	2	2
Glyma02g09460	7	8	7	6	11	2	4	3	2	3	3	2	11	1
Glyma02g09470	6	22	16	13	14	3	3	3	2	1	1	1	7	3
Glyma02g09480	4	13	6	4	3	3	3	6	7	3	7	5	13	7
Glyma02g09490	1	15	4	2	2	3	7	1	4	1	3	2	5	5
Glyma02g09500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09510	7	4	5	7	10	3	2	1	3	1	1	1	9	1
Glyma02g09520	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Glyma02g09530	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Glyma02g09540	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09550	1	2	2	1	1	1	1	1	1	0	1	0	5	1
Glyma02g09560	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09570	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09580	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Glyma02g09590	1	0	0	0	0	0	0	0	1	1	2	2	0	0
Glyma02g09600	4	14	1	1	3	0	0	0	0	0	0	0	5	0
Glyma02g09610	7	5	6	6	3	4	5	4	4	2	5	3	5	5
Glyma02g09620	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09630	29	5	10	7	4	3	3	4	3	1	4	2	2	2
Glyma02g09640	70	9	11	14	8	1	3	2	4	2	3	1	4	1
Glyma02g09650	0	25	1	1	0	3	12	10	3	2	1	0	0	0
Glyma02g09660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09670	0	0	0	0	1	0	0	1	0	0	0	0	0	1
Glyma02g09680	9	5	5	5	5	1	0	1	1	1	1	1	0	0
Glyma02g09690	14	16	20	17	24	6	9	13	7	5	7	7	13	6
Glyma02g09700	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09710	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09720	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09730	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09740	10	8	4	4	4	0	2	3	7	1	4	3	6	1
Glyma02g09750	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Glyma02g09760	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09770	0	3	0	0	0	1	0	0	1	1	0	0	0	0
Glyma02g09780	41	441	70	83	534	6	11	19	20	16	8	0	12	0
Glyma02g09790	7	5	6	7	2	2	3	3	3	1	2	2	5	2
Glyma02g09810	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Glyma02g09820	3	2	0	0	0	0	0	0	1	1	1	0	1	1
Glyma02g09830	10	3	5	6	5	0	2	2	1	1	1	0	0	1
Glyma02g09840	0	0	0	0	0	0	0	0	0	0	0	0	8	2
Glyma02g09850	0	0	0	1	0	0	0	0	0	0	0	0	5	1
Glyma02g09860	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09870	2	2	1	1	0	1	0	2	0	0	0	0	1	0
Glyma02g09880	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09890	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09900	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Glyma02g09910	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09920	5	0	0	0	0	0	0	0	1	0	1	0	0	0
Glyma02g09930	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09940	0	2	1	1	0	5	11	10	3	3	3	1	1	391
Glyma02g09950	5	12	6	7	2	4	3	7	5	3	7	5	4	9
Glyma02g09960	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09970	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09980	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g09990	7	7	9	10	7	5	7	5	6	4	6	2	11	13
Glyma02g10000	0	0	1	0	0	0	1	0	0	0	1	0	0	0
Glyma02g10010	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g10020	6	14	5	9	3	4	5	4	6	2	9	5	8	9
Glyma02g10030	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g10040	7	4	6	3	3	1	2	0	1	1	1	1	1	3
Glyma02g10050	35	34	13	19	6	9	12	11	6	3	6	3	5	5
Glyma02g10060	5	4	3	4	3	1	0	1	1	0	1	1	1	1
Glyma02g10070	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Glyma02g10080	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g10090	0	1	0	0	0	0	0	1	0	0	0	0	0	1
Glyma02g10100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g10110	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g10120	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Glyma02g10130	3	12	4	6	10	3	5	3	4	2	3	3	25	3
Glyma02g10140	7	5	14	17	20	4	6	5	4	2	3	2	6	0
Glyma02g10150	3	4	3	2	1	1	1	1	2	1	1	1	3	1
Glyma02g10160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g10170	68	79	76	70	55	24	42	59	44	32	57	35	75	26
Glyma02g10180	5	3	5	6	2	3	2	6	5	2	2	1	3	5
Glyma02g10190	0	0	0	0	0	1	0	0	0	0	0	0	0	4
Glyma02g10200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g10210	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma02g10220	6	6	5	6	4	4	4	4	3	2	4	2	3	3
Glyma02g10230	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Glyma02g10240	0	0	0	0	0	0	0	0	0	0	0	0	0	160
Glyma02g10250	5	3	3	3	3	0	0	0	1	0	1	2	2	0
