Glyma2.0	root	stem	flower	root_hairs	leaves	nodules	pod	seed	shoot_apical_meristem
Glyma.05g061100	0.01	0.06	0	0.01	0.08	0	0.03	0.03	0.01
Glyma.05g061200	50.01	32.34	11.38	29.14	17.98	26.92	16.44	22.33	15.02
Glyma.05g061300	5.84	7.3	6.97	4.14	9.75	5.17	7.24	5.38	7.39
Glyma.05g061400	95.14	87.79	45.22	173.54	76.3	99.97	98.11	258.57	99.05
Glyma.05g061500	7.03	8.88	10.15	10.32	11.08	8.63	9.68	10.25	5.73
Glyma.05g061600	0	0	0	0	0	0	0	0	0
Glyma.05g061700	17.15	10.69	9.73	13.36	10.09	12.93	10.07	10.32	11.07
Glyma.05g061800	0.91	0.44	1.76	0.93	2.78	0.67	0.75	1	1.4
Glyma.05g061900	0.09	0.02	0.2	0.04	0	0	2.45	1.42	0.18
Glyma.05g062000	1.41	2.86	1.77	3.9	2.37	3.73	3.83	3.26	3.22
Glyma.05g062100	0.35	4.19	0.56	0.98	3.79	0.66	2.37	0.03	3.15
Glyma.05g062200	43.79	28.25	26.2	32.46	18.25	25.56	22.01	19.93	45.63
Glyma.05g062300	21.88	25.18	44.69	27.35	31.61	30.96	25.55	29.73	28.95
Glyma.05g062400	180.62	36.42	29.13	93.14	21.3	127.62	24.03	35.96	19.69
Glyma.05g062500	3.68	4.26	2.75	4.15	3.88	2.77	4.31	4.69	4.46
Glyma.05g062600	0	0	0	0	0	0	0	0	0
Glyma.05g062700	15.32	3.63	5.47	16.2	3.52	4.06	1.24	1.7	12.61
Glyma.05g062800	0.4	1.33	1.59	0.7	1.8	1.33	0.57	0.19	0.21
Glyma.05g062900	38.37	30.13	39.07	23.72	29.33	28.33	31.24	33.14	26.58
Glyma.05g063000	32.03	20.11	38.9	22.03	25.81	23.59	19.75	19.63	33.79
Glyma.05g063100	5.47	5.92	16.78	2.38	18.9	3.24	11.66	3.61	8.69
Glyma.05g063200	0.17	1.22	0	0.85	0	2.83	0	0	0
Glyma.05g063300	0	0.56	0	0	0	0	0	0	0
Glyma.05g063400	1.21	0.32	0.82	0.49	0.52	0.58	0.48	0.36	0.4
Glyma.05g063500	24.8	6.16	4.29	12.54	24.95	9.48	3.17	4.32	7.13
Glyma.05g063600	10.45	2.54	15.24	3.17	10.86	4.17	1.1	0.22	0.85
Glyma.05g063700	0	0	1.04	0	0	0	0	0	0
Glyma.05g063800	23.06	22.66	8.98	25.69	13.44	19.4	20.52	34.5	21.9
Glyma.05g063900	18.7	8.1	8.24	8.3	8.92	8.89	9.1	8.17	7.53
Glyma.05g064000	0	0	0	0	0	0	0	0	0
Glyma.05g064100	9.69	8.53	9.3	7.89	6.38	11.26	8.7	8.68	7.39
Glyma.05g064200	0.22	0.73	0.47	1.16	0.65	0.3	0.43	0.15	0.26
Glyma.05g064300	136.37	114.58	97.9	98.57	73.14	71.99	59.5	42.6	55.83
Glyma.05g064400	0	0	3.47	0.16	0.18	0	0.54	0.4	0.14
Glyma.05g064500	1.03	1.32	3.32	0.69	1.05	0.21	0.25	3.06	0.85
Glyma.05g064600	0.64	0.05	1.04	0.49	0	0.08	0.28	0.88	1.48
Glyma.05g064700	74.99	44.81	118.5	65.27	50.76	57.25	34.85	40.75	42.41
Glyma.05g064800	10.41	8.79	6.42	8.72	15.91	9.06	7.52	5.49	4.13
Glyma.05g064900	0.96	0.06	0.21	0.05	0.04	0.04	0.07	0.1	0.04
Glyma.05g065000	0	0	0	0	0	0	0	0	0
Glyma.05g065100	0	0	0	0	0	0	0	0	0
Glyma.05g065200	0	0	0	0	0	0	0	0	0
Glyma.05g065300	0	0	0	0.07	0	0	0	0	0.02
Glyma.05g065400	0	0	0	0	0	0	0	0	0
Glyma.05g065500	0	0	0	0	0	0.14	0	0	0
Glyma.05g065600	0	0	0	0	0	0	0	0	0
Glyma.05g065700	23.91	0.02	4.03	0.99	0.13	0.7	0.07	0	0.04
Glyma.05g065800	0.04	0.04	0	1.89	0.02	0.08	0.03	0	0
Glyma.05g065900	7.75	13.07	6.9	13.27	28.07	9.49	13.59	11.94	21.23
Glyma.05g066000	1.63	0.38	0.49	0.33	1.34	0.39	0.21	1.05	1.24
Glyma.05g066100	11.28	23.14	9.62	19.64	47.12	8.07	26.74	23.78	57.84
Glyma.05g066200	2.89	1.5	1.91	3.54	0.96	2.67	2.76	4.48	3.93
