Glyma2.0	root	stem	flower	root_hairs	leaves	nodules	pod	seed	shoot_apical_meristem
Glyma.01g000100	0.42	1.84	1.93	2.1	2.59	2.66	2.87	3.69	4.85
Glyma.01g000200	0.1	0.62	1.26	0.94	1.45	1.58	1.33	1.06	2.25
Glyma.01g000300	0.08	0.21	0.78	0.45	0.49	0.26	0.25	0.93	1.05
Glyma.01g000400	3.94	6.78	3.28	5.47	4.18	5.75	6.68	6.33	6.14
Glyma.01g000500	0	0	0	0	0.38	0.09	0.1	0.16	0.18
Glyma.01g000600	3.29	5.23	6.08	4.2	5.8	4.49	5.62	5.63	4.68
Glyma.01g000700	8.27	7.32	8.45	9.82	9.17	7.44	9.26	8.21	8.16
Glyma.01g000800	0	0	0	0.03	0	0	0.1	0	0
Glyma.01g000900	10.64	8.41	8.22	10.17	10.46	8.73	9.09	8.68	9.69
Glyma.01g001000	29.49	14.09	11.7	18.81	13.73	19.96	16.67	13.56	11.1
Glyma.01g001100	3.48	3.4	3.96	3.31	8.96	2.6	4.72	4	5.05
Glyma.01g001200	1.75	1.39	0.68	2.87	0.85	3.56	1.96	4.37	5.06
Glyma.01g001300	22.58	35.14	18.57	30.2	29.84	20.48	45.04	36.41	25.48
Glyma.01g001400	0	0	0	0	0	0	0	0	0
Glyma.01g001500	0.44	0	0	0.54	0	3.1	0	0.02	0.01
Glyma.01g001600	2.07	2.35	2.38	4.19	5.25	2.78	1.97	2.19	2.91
Glyma.01g001700	3.75	4.54	4.55	3.14	10.2	3.52	4.69	4.25	6.41
Glyma.01g001800	0	0.08	0.23	0.1	0.08	0.1	0.19	0.94	0.1
Glyma.01g001900	0.5	0.08	32.43	0.05	0	0.15	0.01	0	0
Glyma.01g002000	0.16	2.04	9.12	0.42	53.36	0.59	4.8	0.23	7.07
Glyma.01g002100	3.64	7.36	3.38	6.55	6.15	3.16	10.13	4.48	3.28
Glyma.01g002200	4.4	7.74	6.95	5.4	5.13	5.14	9.38	5.06	6.16
Glyma.01g002300	2.57	0.36	0.27	0.26	0	0.45	0.04	0.01	0
Glyma.01g002400	16.38	24.85	11.7	26.93	3.44	33.73	13.04	17.05	9.43
Glyma.01g002500	0	0	0	0	0.07	0.06	0	0	0
Glyma.01g002600	9.1	18.29	4.97	15.75	25.41	15.34	22.1	16.4	13.04
Glyma.01g002700	12.75	17.1	12.63	9.99	18.8	9.61	11.97	7.97	16.52
Glyma.01g002800	0	0	0.07	0.09	0	0.05	0	0	0.21
Glyma.01g002900	0.14	0.38	0.91	0.24	3.83	0.31	0.54	0.77	1.68
Glyma.01g003000	0.87	13.46	0.19	2.04	8.75	4.1	3.3	0.09	3.55
Glyma.01g003100	2.8	3.42	1.22	2.51	1.95	2.58	1.72	3.55	2.56
Glyma.01g003200	1.25	1.37	0.68	1.19	0.94	1.32	1	1.35	1.24
Glyma.01g003300	0.08	0	0.03	0.04	0	0.17	0.05	0.07	0
Glyma.01g003400	0.54	1.98	1.04	1.16	4.71	1	1.73	1.89	2.83
Glyma.01g003500	0	0	0.04	0	0	0	0.07	0	0.07
Glyma.01g003600	3.82	4.88	2.52	6.19	8.24	6.13	3.99	9.34	3.99
Glyma.01g003700	18.95	17.28	6.24	17.92	18.21	26.05	21.23	37.57	12.34
Glyma.01g003800	19.38	15.46	10.93	21.88	21.41	18.58	12.43	10.62	16.93
Glyma.01g003900	1.06	0	0.03	1.71	0	0.08	0	0	0
Glyma.01g004000	9.57	0.75	12.36	7.89	4.75	6.87	0.32	0.7	0.27
Glyma.01g004100	6.63	3.31	7	3.12	5.71	4.19	3.28	3.43	2.72
Glyma.01g004200	52.95	2.8	46.26	8.97	130.26	5.07	1	12.24	0.38
Glyma.01g004300	219.6	165.73	67.88	331.58	152.02	220.56	126.83	356.78	192.84
Glyma.01g004400	0.12	0.12	0.1	0.12	0.39	0.19	0.21	0.23	0.28
Glyma.01g004500	50.28	43.49	44.99	26.07	33	33.11	42.08	29.09	22.69
Glyma.01g004600	39.33	11.9	2.82	17.66	0.81	14	1.97	1.63	7.9
Glyma.01g004700	1.39	1.57	0.7	1.99	1.03	2.33	0.87	1.37	3.14
Glyma.01g004800	0.82	1.5	0.77	2.11	1.1	5.65	0.5	0.09	0.13
Glyma.01g004900	0.09	0.02	0.28	0.08	0.19	0.21	0.06	0.21	0.45
Glyma.01g005000	13.7	13.48	30.46	32.24	5.6	26.87	25.98	13.96	34.99
Glyma.01g005100	3.84	2.46	130.84	8.58	0.09	16.66	1.33	0	0.07
Glyma.01g005200	1.97	2.29	11.36	2.09	0.96	2.59	2.81	4.85	1.93
Glyma.01g005300	39.94	30.38	56.41	29.33	18.61	24.72	20.74	26.39	21.05
Glyma.01g005400	4.25	13.5	19.8	7.35	23.81	19.09	21.17	9.33	2.59
Glyma.01g005500	0.27	2.4	0.98	1.1	0.41	0.76	0.6	1.27	0.75
Glyma.01g005600	1.12	8.76	0.67	2.71	0.18	2.92	4.12	6.31	6.61
Glyma.01g005700	0	0.08	0.05	0.07	0.13	0.04	0.02	0.22	0
Glyma.01g005800	0.69	1.64	0.09	2.09	0.37	0.96	2.07	0.39	0.23
Glyma.01g005900	0	0.04	4.76	0	0	0	0	0	0
Glyma.01g006000	8.3	1.02	42.6	3.8	31.82	5.46	4.19	1.3	3.55
Glyma.01g006100	3.68	5.26	14.25	6.76	17.94	9.21	8.55	8.2	8.54
Glyma.01g006200	76.73	75.69	128.71	210.23	71.42	252.51	78.78	151.16	167.49
Glyma.01g006300	0.39	0.26	0.78	0.32	0.19	0.96	0.18	0.17	0.8
Glyma.01g006400	10.56	14.67	9.15	19.38	14.95	16.51	13.15	15.18	14.57
Glyma.01g006500	1.99	2.85	4.15	8.92	2.06	14.67	9.63	10.34	3.24
Glyma.01g006600	4.78	4.79	10.73	3.45	5.89	4.38	5.22	5.18	4.45
Glyma.01g006700	0.15	1.33	29.73	1.08	11.49	2.7	4.67	9.41	2.59
Glyma.01g006800	0.36	0.48	0.3	1.05	0.14	5.18	0.78	2.44	0.67
Glyma.01g006900	39.58	32.85	33.08	39.03	43.14	31.28	38.37	56.56	28.52
Glyma.01g007000	0.28	0.39	1.19	1.38	0.19	3.38	1.11	1.2	0.61
Glyma.01g007100	0.44	0.74	11.37	1.09	0.04	0.72	4.8	2.62	0.21
Glyma.01g007200	18.33	9.02	9.75	30.89	17.52	28.29	10.45	28.5	5.86
Glyma.01g007300	6.67	0.34	0.21	3.03	1.06	4.45	0.39	0.8	0.33
Glyma.01g007400	2.76	3.95	2.93	4.26	7.41	5.24	1.17	0.83	2.36
Glyma.01g007500	3.97	0.02	0.59	0.68	2.65	0.67	0	0.02	0
Glyma.01g007600	0.81	0.05	0	0.28	0	0	0	0	0
Glyma.01g007700	6.19	6.92	4.4	8.04	8.73	5.54	4.83	6.28	4
Glyma.01g007800	4.56	4.69	1.06	9.28	0.49	8.77	3.12	3.22	9.52
Glyma.01g007900	0	0.02	16.96	0.01	0	0	0.09	0.21	0
Glyma.01g008000	10.67	11.13	8.46	13	3.79	14.68	8.61	27.56	12.06
Glyma.01g008100	0.1	1.46	1.59	0.47	1.75	1.13	1.02	0.3	0.24
Glyma.01g008200	0.04	0.36	0.02	0.45	0.01	0.59	0.06	0.09	0.01
Glyma.01g008300	0	0	0	0	0	0	0.18	0.44	0
Glyma.01g008400	17.15	16.42	17.39	10.38	19.6	16.21	16.88	13.07	5.33
Glyma.01g008500	233.07	288.04	150.73	168.81	87.44	187.2	226.31	21.46	79.19
Glyma.01g008600	14.8	18.8	19.77	17.23	18.7	14.03	15.45	16.41	15.24
Glyma.01g008700	0.53	1.13	1.5	3.74	0.25	21.1	1.49	1.89	1.9
Glyma.01g008800	25.5	20.56	10.28	28.09	22.24	28.8	18.42	20.95	21.23
Glyma.01g008900	7.14	11.1	5.64	8.88	4.56	8.46	8.87	5.8	6.31
Glyma.01g009000	0.27	0.32	2.22	0.87	0.55	0.92	8.9	0.46	0.23
Glyma.01g009100	0	0.01	0	0	0	0	0.01	0	0
Glyma.01g009200	0.46	1.99	26.52	4.27	40	10.49	74.55	5.15	7.98
Glyma.01g009300	24.19	18.7	8.65	35.79	39.87	26.42	38.47	85.32	23.32
Glyma.01g009400	4.67	4.13	6	3.16	4.58	5.36	7.42	2.98	2.73
Glyma.01g009500	1.05	0.89	0.47	0.32	1.35	0.81	3.78	1.19	3.44
Glyma.01g009600	1.71	3.47	0.79	4.86	0.57	15.2	2.33	0.58	0.75
Glyma.01g009700	9.94	27.31	7.82	20.62	0.74	42.09	14.95	25.14	58.99
Glyma.01g009800	12.27	11.61	5.59	13.66	12.52	11.17	8	9.75	11.74
Glyma.01g009900	6.82	6.95	14.49	3.31	10.65	5.85	8.7	4.82	4.99
Glyma.01g010000	1.55	1.83	1.02	3.22	1.05	2.28	1.81	2.31	3.33
Glyma.01g010100	6.05	5.07	6.03	6.41	3.42	17.4	4.75	3.17	2.99
Glyma.01g010200	3.98	22.74	11.02	3.93	257.6	1.04	45.31	30.81	59.27
Glyma.01g010300	61.49	127.1	28.67	64.37	25.07	52.77	92.11	46.55	50.29
Glyma.01g010400	9.7	13.57	11.8	20.86	27.17	18.72	16.44	38.11	14.85
Glyma.01g010500	3.74	1.38	2.26	0.49	3.32	0.76	1.15	1.02	0.47
Glyma.01g010600	35.88	33.79	26.67	27.02	40.97	28.76	29	41.96	37.95
Glyma.01g010700	0.72	0.01	0.24	0.32	0.31	0.86	0.01	0.04	0.23
Glyma.01g010800	1.8	2.97	2.68	1.9	2.93	2.6	2.08	2.24	2.44
Glyma.01g010900	30.83	10.29	15.54	16.57	9.86	16.82	6.22	16.42	5.98
Glyma.01g011000	7.51	26.58	2.64	5.62	0.54	6.6	4.48	1.56	26.54
Glyma.01g011100	54.92	34.87	19.4	46.24	21.84	34.26	24.23	33.8	30.41
Glyma.01g011200	9.52	12.03	10.24	8.83	4.49	8.38	13.05	13.6	14.65
Glyma.01g011300	1.23	3.33	2.67	1.05	8.75	0.18	4.65	4.91	7.94
Glyma.01g011400	2.62	2.56	1.93	2.55	1.57	1.6	2.92	3.11	1.75
Glyma.01g011500	1.76	0.01	0	0.29	0.03	4.14	0.02	0.02	0.02
Glyma.01g011600	0.44	0.01	0.7	0.25	17.54	0.99	0.04	0	0.02
Glyma.01g011700	0.4	0.55	0.13	0.5	2.24	0.66	0.1	0.44	0.91
Glyma.01g011800	0.54	0.04	0.02	0.11	0.01	1.14	0	0.03	0.13
Glyma.01g011900	2.39	9.14	2.84	3.42	0.03	4.68	0.2	0.08	30.75
Glyma.01g012000	0.13	3.12	0.56	0.15	0.08	0.2	0.13	0.05	3.83
Glyma.01g012100	0.04	12.39	7.26	0.19	0.05	0.54	0.68	0.02	35.31
Glyma.01g012200	0.73	0.15	0.14	2.96	0.08	4.38	0.02	0.09	0.15
Glyma.01g012300	14.53	7.26	39.99	6.73	9.2	6.22	6.03	4.38	6.51
Glyma.01g012400	9.05	7.41	26.13	3.67	13.98	4.99	7.29	8.52	7.16
Glyma.01g012500	20.39	17.93	19.86	16.18	14.95	17.5	13.09	15.37	10.38
Glyma.01g012600	20.31	18.74	17.25	17.22	16.15	20.61	8.73	15.02	10.39
Glyma.01g012700	5.31	3.32	4.63	5.53	5.36	2.98	2.85	3.01	5.78
Glyma.01g012800	0.58	0.04	0.13	0.36	0.1	0.56	0.01	0	0.47
Glyma.01g012900	0	0	0	0	0.02	0	0	0	0
Glyma.01g013000	0.62	1.89	0.9	0.87	0	0.7	0.03	0	8.56
Glyma.01g013100	0.44	0.01	0.01	0.72	0	0.98	0	0.33	0.01
Glyma.01g013200	4.8	0	0	0.07	0	2.52	0	0	0.02
Glyma.01g013300	9.57	0	0	4.53	0	7.32	0.02	0.04	0
Glyma.01g013400	0	0	0	0	0	0	0	0	0
Glyma.01g013500	1.58	2.53	2.3	0.01	1.94	0	2.43	0.86	30.94
Glyma.01g013600	6.78	5.77	8.37	6.42	7.74	6.28	6.18	7.29	6.73
Glyma.01g013700	0.37	0.34	0.52	0.17	0.51	0.34	0.4	0.48	0.57
Glyma.01g013800	0.53	0.98	0.97	0.87	1.26	1.16	1.06	1.17	1.07
Glyma.01g013900	5.51	10.37	114.71	3.88	12.73	9.07	8.32	5.82	2.93
Glyma.01g014000	8.88	4.25	1.58	1.26	1.49	1.29	4.47	1.73	0.14
Glyma.01g014100	2.57	21.81	0.51	6.03	0.32	2.07	0.85	2.21	6.82
Glyma.01g014200	5.19	5.2	12.57	4.63	6.34	3.34	1.9	2.46	4.86
Glyma.01g014300	0	0.99	0	0	0	0.51	0	0	0
Glyma.01g014400	5.49	8.6	6.38	6.15	21.21	5.94	6.1	11.82	10.52
Glyma.01g014500	5.1	6.59	3.27	7.88	6.38	6.33	3.37	7.76	7.32
Glyma.01g014600	1.44	1.1	3.14	0.83	0.48	0.1	5.02	12.86	10.18
Glyma.01g014700	12.88	2.77	7.5	5.02	6.64	5.16	2.37	4.37	4.82
Glyma.01g014800	2.63	5.47	1.96	3.82	7.29	2.53	2.37	6.27	5.74
Glyma.01g014900	1.27	2.3	2.97	3.03	10.85	2.26	3.88	5.57	7.17
Glyma.01g015000	43.89	32.78	52.78	29.76	50.93	35.37	33.48	38.76	35.97
Glyma.01g015100	8.47	15.85	15.89	14.65	47.33	12.09	27.3	22.47	24.08
Glyma.01g015200	0.41	0.15	0.42	0.33	0.2	0.3	0.26	0.27	0.29
Glyma.01g015300	16.71	8.27	5.22	8.96	8.3	9.38	7.37	8.27	6.71
Glyma.01g015400	7.82	25.01	4.49	19.41	11.9	15.26	29.93	25.55	24.79
Glyma.01g015500	33.46	19.19	12.33	24.02	21.39	19.36	15.71	20.93	16.19
Glyma.01g015600	10.09	9.31	5.84	5.61	3.73	6.19	7.4	10.63	4.56
Glyma.01g015700	3.39	2.86	3.5	3.08	2.04	3.43	2.13	2.8	2.87
Glyma.01g015800	0	0.04	0.08	0	0	0	0	0	0.02
Glyma.01g015900	11.8	10.34	9.35	7.55	10.19	8.74	5.7	6.35	9.48
Glyma.01g016000	0	0	0.64	0.28	0	0.35	0	0	0.72
Glyma.01g016100	0.21	0.31	0.55	0.55	0.74	0.52	0.56	1.06	0.61
Glyma.01g016200	1.4	2.48	3.05	1.54	4.03	1.56	2.97	3.09	1.9
Glyma.01g016300	0	0.15	0.21	0.17	2.02	1.88	0	0	0.61
Glyma.01g016400	7.11	3.78	6.02	4.44	4.78	3.94	5.26	5.54	3.69
Glyma.01g016500	4.71	6.26	6.06	0.66	10.7	0.02	18.2	25.46	23.1
Glyma.01g016600	0.23	1.42	1.97	0.65	0.18	1.17	0.44	0	0.02
Glyma.01g016700	0	0	0	0	0	0	0	0	0
Glyma.01g016800	20.91	25.22	48.18	14.82	25.38	11.44	13.97	6.24	15.28
Glyma.01g016900	5.07	6.71	9.14	6.92	7.22	4.95	6.12	8.1	7.16
Glyma.01g017000	18.5	15.72	44.8	13.41	62.39	11.82	8.62	13.82	6.96
Glyma.01g017100	50.4	12.66	17.01	19.1	16.02	10.97	9.13	6.54	12.81
Glyma.01g017200	0	0	0.08	0	0	0	0	0	0
Glyma.01g017300	0.98	7.37	0.82	3.42	0.85	3.67	1.34	1.72	4.46
Glyma.01g017400	1.68	4.38	8.3	2.11	28.02	2.97	3.51	4.47	7.01
Glyma.01g017500	0	0.05	0	0	0	0	0	0	0
Glyma.01g017600	0	0	0	0	0	0.11	0	0	0
Glyma.01g017700	93.75	36.63	36.93	37.74	183.53	54.28	20.24	0.72	9.26
Glyma.01g017800	9.05	2.78	4.16	3.28	7.35	3.52	2.72	0.62	1.44
Glyma.01g017900	6.14	5.25	11.11	5.63	5.26	9.58	4.28	1.46	3.17
Glyma.01g018000	0.42	96.76	110.78	13.52	182.97	28.04	44.56	2.38	14.45
Glyma.01g018100	6.58	39.95	24.25	29.2	10.89	42.22	24.26	6.91	5.96
Glyma.01g018200	0	0	0	0.07	0.17	0	0	0	0
Glyma.01g018300	2.54	2.12	2.91	3.96	2.68	3.39	1.95	2.11	4.22
Glyma.01g018400	10.8	17.05	28.01	17.6	28.13	13.27	12.47	10.7	14.67
Glyma.01g018500	0.13	0.07	10.1	0	0.03	0	0	0	0
Glyma.01g018600	5.04	5.78	3.44	5.69	2.73	6.89	7.61	10.56	8.49
Glyma.01g018700	8.36	6.07	9.21	7.05	8.94	6.21	5.51	4.91	4.28
Glyma.01g018800	33.03	3.08	9.69	15.07	3.89	21.36	2.96	3.7	1.53
Glyma.01g018900	0.92	0.25	0.03	0.04	0	0.17	0	0	0
Glyma.01g019000	25.63	4.23	3.81	11.31	0.25	11.89	4.25	14.13	4.01
Glyma.01g019100	1.67	7.3	5.19	3.33	9.64	2.17	3.43	10.36	9.82
Glyma.01g019200	230.49	13.23	29.81	17.92	14.76	19.85	6.16	2.83	2.08
Glyma.01g019300	2.13	4.98	4.24	3.76	3.57	2.76	6.33	0.91	7.18
Glyma.01g019400	92.66	84.02	19.62	57.73	17.32	41.99	52.55	20.87	59.63
Glyma.01g019500	1.04	42.98	18.27	5.96	0.87	8.8	24.05	2.84	7.47
Glyma.01g019600	1.05	1.3	0.79	1.73	2.43	1.48	1.14	1.4	2.75
Glyma.01g019700	6.36	24.3	4.02	15.63	4.87	41.33	54.1	26.27	39.64
Glyma.01g019800	84.53	57.09	163.27	53.74	142.84	85.5	30.39	20.67	20.64
Glyma.01g019900	2.82	1.97	4.61	2.73	4.15	7.26	2.82	3.18	3.75
Glyma.01g020000	0.05	0	0	0.21	0	0.75	0	0	0
Glyma.01g020100	68.64	8.73	0.08	10.43	0.26	34.91	0.34	0.2	0.33
Glyma.01g020200	14.45	17.51	4.33	8.01	5.87	5.91	10.11	4.85	7.39
Glyma.01g020300	14.49	17.44	23.04	17.59	35.72	13.29	18.46	20.5	14.42
Glyma.01g020400	3.11	1.95	1.85	2.94	0.16	1.53	0.9	0.36	3.97
Glyma.01g020500	0.28	0.05	0.74	0.81	0.2	1.01	0.01	0	0.05
Glyma.01g020600	0.11	0	0	0.07	0	0	0.02	0	0
Glyma.01g020700	0.41	0	0	0.12	0	0.14	0	0	0
Glyma.01g020800	0.93	0.16	0.27	0.03	0.02	0.07	0.06	0	4.14
Glyma.01g020900	12.7	209.93	3.45	40.95	11.07	5.74	0.47	44.96	23.01
Glyma.01g021000	26.65	0.03	11.3	0.09	2.76	0.03	0.1	0	0.65
Glyma.01g021100	0.67	3.4	0.74	0.72	1.18	0.44	1.66	0.56	6.11
Glyma.01g021200	1.19	1.77	0.37	1.99	0.04	2.41	1.11	1.15	4.53
Glyma.01g021300	4.8	5.65	3.12	6.82	5.69	4.83	9.42	16.78	7.21
Glyma.01g021400	9.61	13.39	13.51	17.56	12.24	12.91	13.74	14.43	10.21
Glyma.01g021500	0.3	0.43	0.1	0.07	0	0.2	0	0.04	1.27
Glyma.01g021600	6.54	8.1	10.98	14.24	17.27	11.29	12.82	17.06	12.01
Glyma.01g021700	0.02	0.25	0.83	0.06	4.89	0	0.1	0.01	0.13
Glyma.01g021800	0	0.02	0	0	0	0	0	0	0
Glyma.01g021900	0	0.13	0.98	0	2.17	0.02	0.32	0	0.82
Glyma.01g022000	0	0	0	0	0	0	0	0	0
Glyma.01g022100	181.08	109.62	107.24	143.36	95.55	148.4	73.93	124.4	213.23
Glyma.01g022200	0	0	0.28	0	0	0	0	0	0
Glyma.01g022300	0.13	0.13	0.85	0.15	0.48	0.06	0.49	0.01	0.86
Glyma.01g022400	3.78	1.6	12.66	7.79	3.23	10.66	0.92	3.11	6.05
Glyma.01g022500	3.07	0.77	0.28	5.28	0.27	2.93	1.39	8.74	0.95
Glyma.01g022600	0.92	4.29	3.78	1.57	7.93	3.14	3.88	2.19	1.47
Glyma.01g022700	0.59	7.75	1.14	4.76	0.77	12.85	9.38	4.31	4.22
Glyma.01g022800	1.1	3	1.5	2.58	3.28	2.78	3.04	3.55	2.11
Glyma.01g022900	14.52	0.88	2.05	1.6	0.11	0.63	0.14	0.1	1.19
Glyma.01g023000	23.3	12.48	26.09	16.43	9.59	15.52	5.72	1.81	15.08
Glyma.01g023100	0.01	0	0.12	0.01	0	0	0.01	0	0.04
Glyma.01g023200	8.69	4.58	17.95	7.16	15.07	5.98	6.8	5.75	5.15
Glyma.01g023300	15.77	100.92	32.43	28.42	43.86	11.46	65.57	40.54	26.66
Glyma.01g023400	0	0	0.07	0	0	0.1	0.03	0	0.15
Glyma.01g023500	4.77	14.87	0.27	6.09	10.98	11.74	0.08	0.68	14.97
Glyma.01g023600	1.78	3.7	3.61	2.45	3.3	3.25	3.77	5.27	6.42
Glyma.01g023700	2.45	3.15	1.67	4	4.22	2.33	1.81	2.1	1.68
Glyma.01g023800	0.18	0.22	0.39	0.49	0.55	0.58	0.44	0.85	0.68
Glyma.01g023900	2.31	2.96	2.76	3.04	5.48	3.8	3.99	6	3.95
Glyma.01g024000	36.57	34.75	16.71	17.04	50.65	8.82	14.7	15.8	14.24
Glyma.01g024100	0	0.01	0	0	0	0	0	0.01	0
Glyma.01g024200	0	0.05	0	0	0.48	0	0	0	0
Glyma.01g024300	0.2	4.32	3.12	0.26	8.44	0.2	2.53	0.21	1.71
Glyma.01g024400	0	0	0.12	0.02	0.09	0	0.02	0.18	0
Glyma.01g024500	0.21	1	1.35	0.41	4.96	0.22	0.8	0.15	0.15
Glyma.01g024600	16.1	16.41	9.71	15.93	27.79	16.04	14.54	19.95	18.24
Glyma.01g024700	3.69	6.1	2.52	5.82	2.77	5.27	6.16	5.43	5.28
Glyma.01g024800	0.02	0.06	0.04	0	0.24	0.02	0.17	0.3	0.01
Glyma.01g024900	0	0	0	0	0	0	0.08	0	0
Glyma.01g025000	0.44	0.36	1.92	1.31	0.36	0.09	0.87	5.76	11.96
Glyma.01g025100	1137.49	163.92	108.08	467.41	243.55	337.06	164.26	53.26	122.33
Glyma.01g025200	8.52	0.36	5.62	0.43	16.84	0.41	2.59	2.43	5.13
Glyma.01g025300	2.36	5.23	1.69	3.35	7.25	2.9	4.15	1.26	3.69
Glyma.01g025400	2.44	0.14	5.19	0	0.05	0.03	0.33	0.07	7.48
Glyma.01g025500	10.44	0.88	4.84	3.67	6.73	7.18	7.11	11.2	2.15
Glyma.01g025600	6.63	6.68	53.23	7.47	13.53	9.58	10.23	10.46	4.2
Glyma.01g025700	0	0	3.31	0	2.68	3.2	0	0	0
Glyma.01g025800	4.48	1.98	24.89	2.07	13.72	4.01	4.17	2.87	1.13
Glyma.01g025900	0	0	0	0	0	0	0	0	0
Glyma.01g026000	2.3	3.74	36.83	2.7	7.15	2.34	3.58	4.26	3.8
Glyma.01g026100	24.89	35.71	19.21	56.06	26.51	31.62	25.85	90.59	28.57
Glyma.01g026200	9.77	10.33	0.6	22.63	19.12	14.43	2.48	1.59	7.9
Glyma.01g026300	0	0.03	0	0	0	0	0.03	0	0
Glyma.01g026400	1.7	1.73	3.4	2.41	1.67	2.29	3.87	3.09	1.52
Glyma.01g026500	4.87	6.85	7.59	8.51	6.51	7.61	12.57	8.86	8.49
Glyma.01g026600	1.54	1.56	0.38	8.21	0.05	4.24	0.62	0.46	1.77
Glyma.01g026700	13.85	43.11	18.41	28.9	295.33	36.47	44.53	46.3	40.53
Glyma.01g026800	3.41	6.05	1.72	9.04	2.85	6.76	15.85	33.08	8.42
Glyma.01g026900	0.33	0.41	0.13	0.48	0.27	0.35	0.34	0.52	0.35
Glyma.01g027000	0.03	0.01	3.66	0.02	0	0.01	0	0	0.03
Glyma.01g027100	0.02	0.02	0	0.05	0.05	0.02	0.09	0	0
Glyma.01g027200	0	0.09	0.01	0.41	1.99	1.66	0.21	0.03	0
Glyma.01g027300	26.83	29.26	15.87	26.38	17.32	21.57	24.64	21.76	19.89
Glyma.01g027400	0	0	0.13	0.03	0	0	0.02	0	0
Glyma.01g027500	18.04	3.23	21.87	7.52	15.08	6.94	9.1	1.56	5.96
Glyma.01g027600	0.02	0.3	0.4	0.17	0.04	0.14	0.59	1.61	0.66
Glyma.01g027700	9.23	9.25	6.94	10.7	9.37	12.89	8.54	11.78	12.33
Glyma.01g027800	2.55	2.39	0.35	4.23	1.1	2.78	2.16	5.51	2.42
Glyma.01g027900	0.58	0.38	0.01	0.68	0.04	1.6	0.01	0.02	0
Glyma.01g028000	0	0	0	0	0	0.03	0.14	0.29	0
Glyma.01g028100	6.2	2.43	1.08	0.75	4.59	2.26	1.29	0.33	0.76
Glyma.01g028200	1.47	1.5	1.47	1.6	1.99	0.66	2.38	8.74	9.08
Glyma.01g028300	1.17	7.69	0.76	3.04	0.02	1.06	0.25	0.17	1.27
Glyma.01g028400	0	0	0	0.59	0	2.52	0	0	0
Glyma.01g028500	66.11	36.01	2.13	143.79	4.33	695.93	6.28	1.36	4.46
Glyma.01g028600	2.74	5.2	0.86	4.39	1.34	3.3	9.87	1.37	3.76
Glyma.01g028700	3.2	13.97	4.43	10.4	8.41	13.01	17.83	35.96	16.43
Glyma.01g028800	3.55	7.48	17.93	4.79	5.77	3.65	11.33	0.9	7.19
Glyma.01g028900	59.4	59.54	30.4	59.69	33.37	38.59	72.68	35.99	39.74
Glyma.01g029000	46.27	25.81	23.67	32.55	21.84	33.38	28.33	33.51	27
Glyma.01g029100	16.59	15.25	42.34	6.36	21.23	8.46	10.67	10.04	9.19
Glyma.01g029200	118.09	106.09	44.15	191.89	83.45	110.28	79.82	254.18	116.16
Glyma.01g029300	0.19	1.68	0.17	0.08	0.18	0.1	0.13	0.14	3.78
Glyma.01g029400	23.62	29.88	12.56	26.22	20.14	36.74	22.87	39.6	32.17
Glyma.01g029500	17.36	8.1	2.97	8.25	6.18	7.52	6.2	5.47	4.22
Glyma.01g029600	33.33	36.27	33.02	40.15	37.2	32.38	29.96	36.14	31
Glyma.01g029700	0.15	2.33	0.44	0.69	0.93	0.85	1.19	1.25	1.37
Glyma.01g029800	181.84	168.5	54.45	175.2	101.08	117.07	110.73	86.28	84.71
Glyma.01g029900	0.18	0.11	0.18	0.2	0.04	0.25	0.12	0.3	0.65
Glyma.01g030000	1.75	10.32	1.65	6.58	0.8	5.19	4.6	3.14	10.43
Glyma.01g030100	0.06	0	0	0	0	0	0.07	0	0
Glyma.01g030200	3.6	0.01	1.98	0.05	0	0.05	0	0	0
Glyma.01g030300	5.48	1.54	2.66	1.67	11.32	1.26	1.5	0.74	1.6
Glyma.01g030400	2.93	7.41	32.04	1.89	16.65	3.56	4.99	3.02	3.38
Glyma.01g030500	0.65	19.29	39.62	1.07	50.95	2.15	15.45	14.93	2.57
Glyma.01g030600	66.2	47.45	26.58	61.73	36.78	66.06	33.65	68.71	38.2
Glyma.01g030700	0.7	0.57	2.19	0.87	1.36	1.16	0.44	0.7	0.59
Glyma.01g030800	70.91	40.92	36.26	67.02	30.99	54.16	41.89	56.63	47.84
Glyma.01g030900	3.73	6.71	8.04	9.34	2.1	9.75	21.54	6.89	12.11
Glyma.01g031000	0	0	0	0	0	0	0	0	0
Glyma.01g031100	0	0	0	0	0	0	0	0	0
Glyma.01g031200	5.4	4.69	3.4	7.69	4.93	6.55	5.05	8.52	8.2
Glyma.01g031300	1.36	4.44	0.4	2.9	0.04	2.69	1.69	3.23	6.85
Glyma.01g031400	7.23	8.81	17.3	12.17	14.17	11.22	10.75	12.61	14.49
Glyma.01g031500	90.28	19.3	33.47	9.62	9.76	8.39	6.12	2.78	9.91
Glyma.01g031600	0	0	0	0	0	0	0	0	0
Glyma.01g031700	48.28	62.57	19.61	87.01	18.27	63.11	22.37	65.09	32.99
Glyma.01g031800	16.23	1.33	4.79	10.8	2.84	23.82	0.74	2.04	1.83
Glyma.01g031900	15.19	4.61	13.4	15.59	12.4	23.26	4.64	1.33	4.58
Glyma.01g032000	2.45	20.47	0.97	8.31	0.57	13.91	21.22	4.99	5.25
